Station,Date,Flow
02HC032,1966-09-05,0.088
02HC032,1966-09-06,0.079
02HC032,1966-09-07,0.071
02HC032,1966-09-08,0.062
02HC032,1966-09-09,0.059
02HC032,1966-09-10,0.051
02HC032,1966-09-11,0.059
02HC032,1966-09-12,0.057
02HC032,1966-09-13,0.059
02HC032,1966-09-14,0.062
02HC032,1966-09-15,0.071
02HC032,1966-09-16,0.062
02HC032,1966-09-17,0.057
02HC032,1966-09-18,0.057
02HC032,1966-09-19,0.059
02HC032,1966-09-20,0.059
02HC032,1966-09-21,0.059
02HC032,1966-09-22,0.096
02HC032,1966-09-23,0.088
02HC032,1966-09-24,0.068
02HC032,1966-09-25,0.062
02HC032,1966-09-26,0.059
02HC032,1966-09-27,0.059
02HC032,1966-09-28,0.057
02HC032,1966-09-29,0.062
02HC032,1966-09-30,0.068
02HC032,1966-10-01,0.057
02HC032,1966-10-02,0.059
02HC032,1966-10-03,0.059
02HC032,1966-10-04,0.059
02HC032,1966-10-05,0.062
02HC032,1966-10-06,0.062
02HC032,1966-10-07,0.062
02HC032,1966-10-08,0.057
02HC032,1966-10-09,0.059
02HC032,1966-10-10,0.074
02HC032,1966-10-11,0.071
02HC032,1966-10-12,0.071
02HC032,1966-10-13,0.068
02HC032,1966-10-14,0.074
02HC032,1966-10-15,0.088
02HC032,1966-10-16,0.119
02HC032,1966-10-17,0.096
02HC032,1966-10-18,0.079
02HC032,1966-10-19,0.079
02HC032,1966-10-20,0.079
02HC032,1966-10-21,0.074
02HC032,1966-10-22,0.068
02HC032,1966-10-23,0.068
02HC032,1966-10-24,0.068
02HC032,1966-10-25,0.062
02HC032,1966-10-26,0.059
02HC032,1966-10-27,0.059
02HC032,1966-10-28,0.059
02HC032,1966-10-29,0.057
02HC032,1966-10-30,0.057
02HC032,1966-10-31,0.062
02HC032,1966-11-01,0.062
02HC032,1966-11-02,0.088
02HC032,1966-11-03,0.133
02HC032,1966-11-04,0.113
02HC032,1966-11-05,0.096
02HC032,1966-11-06,0.091
02HC032,1966-11-07,0.088
02HC032,1966-11-08,0.108
02HC032,1966-11-09,0.187
02HC032,1966-11-10,0.311
02HC032,1966-11-11,0.289
02HC032,1966-11-12,0.224
02HC032,1966-11-13,0.178
02HC032,1966-11-14,0.159
02HC032,1966-11-15,0.187
02HC032,1966-11-16,0.127
02HC032,1966-11-17,0.113
02HC032,1966-11-18,0.108
02HC032,1966-11-19,0.102
02HC032,1966-11-20,0.091
02HC032,1966-11-21,0.088
02HC032,1966-11-22,0.085
02HC032,1966-11-23,0.074
02HC032,1966-11-24,0.085
02HC032,1966-11-25,0.119
02HC032,1966-11-26,0.139
02HC032,1966-11-27,0.133
02HC032,1966-11-28,0.224
02HC032,1966-11-29,0.654
02HC032,1966-11-30,0.569
02HC032,1966-12-01,0.43
02HC032,1966-12-02,0.311
02HC032,1966-12-03,0.261
02HC032,1966-12-04,0.238
02HC032,1966-12-05,0.229
02HC032,1966-12-06,0.229
02HC032,1966-12-07,0.784
02HC032,1966-12-08,1.04
02HC032,1966-12-09,0.784
02HC032,1966-12-10,1.25
02HC032,1966-12-11,1.8
02HC032,1966-12-12,0.92
02HC032,1966-12-13,0.784
02HC032,1966-12-14,0.685
02HC032,1966-12-15,0.524
02HC032,1966-12-16,0.447
02HC032,1966-12-17,0.43
02HC032,1966-12-18,0.419
02HC032,1966-12-19,0.377
02HC032,1966-12-20,0.343
02HC032,1966-12-21,0.311
02HC032,1966-12-22,0.283
02HC032,1966-12-23,0.258
02HC032,1966-12-24,0.235
02HC032,1966-12-25,0.212
02HC032,1966-12-26,0.198
02HC032,1966-12-27,0.176
02HC032,1966-12-28,0.159
02HC032,1966-12-29,0.142
02HC032,1966-12-30,0.13
02HC032,1966-12-31,0.125
02HC032,1967-01-01,0.122
02HC032,1967-01-02,0.119
02HC032,1967-01-03,0.119
02HC032,1967-01-04,0.119
02HC032,1967-01-05,0.119
02HC032,1967-01-06,0.119
02HC032,1967-01-07,0.119
02HC032,1967-01-08,0.119
02HC032,1967-01-09,0.119
02HC032,1967-01-10,0.119
02HC032,1967-01-11,0.119
02HC032,1967-01-12,0.119
02HC032,1967-01-13,0.119
02HC032,1967-01-14,0.119
02HC032,1967-01-15,0.119
02HC032,1967-01-16,0.13
02HC032,1967-01-17,0.139
02HC032,1967-01-18,0.133
02HC032,1967-01-19,0.127
02HC032,1967-01-20,0.119
02HC032,1967-01-21,0.113
02HC032,1967-01-22,0.105
02HC032,1967-01-23,0.193
02HC032,1967-01-24,1.02
02HC032,1967-01-25,1.3
02HC032,1967-01-26,1.2
02HC032,1967-01-27,0.447
02HC032,1967-01-28,0.425
02HC032,1967-01-29,0.442
02HC032,1967-01-30,0.396
02HC032,1967-01-31,0.354
02HC032,1967-02-01,0.328
02HC032,1967-02-02,0.311
02HC032,1967-02-03,0.303
02HC032,1967-02-04,0.283
02HC032,1967-02-05,0.255
02HC032,1967-02-06,0.193
02HC032,1967-02-07,0.227
02HC032,1967-02-08,0.224
02HC032,1967-02-09,0.224
02HC032,1967-02-10,0.215
02HC032,1967-02-11,0.198
02HC032,1967-02-12,0.184
02HC032,1967-02-13,0.19
02HC032,1967-02-14,0.204
02HC032,1967-02-15,0.176
02HC032,1967-02-16,0.176
02HC032,1967-02-17,0.17
02HC032,1967-02-18,0.161
02HC032,1967-02-19,0.147
02HC032,1967-02-20,0.136
02HC032,1967-02-21,0.127
02HC032,1967-02-22,0.119
02HC032,1967-02-23,0.113
02HC032,1967-02-24,0.119
02HC032,1967-02-25,0.142
02HC032,1967-02-26,0.167
02HC032,1967-02-27,0.159
02HC032,1967-02-28,0.176
02HC032,1967-03-01,0.198
02HC032,1967-03-02,0.193
02HC032,1967-03-03,0.159
02HC032,1967-03-04,0.125
02HC032,1967-03-05,0.108
02HC032,1967-03-06,0.108
02HC032,1967-03-07,0.108
02HC032,1967-03-08,0.181
02HC032,1967-03-09,0.193
02HC032,1967-03-10,0.13
02HC032,1967-03-11,0.164
02HC032,1967-03-12,0.569
02HC032,1967-03-13,0.646
02HC032,1967-03-14,0.694
02HC032,1967-03-15,1.09
02HC032,1967-03-16,0.773
02HC032,1967-03-17,0.617
02HC032,1967-03-18,0.705
02HC032,1967-03-19,0.606
02HC032,1967-03-20,0.377
02HC032,1967-03-21,0.297
02HC032,1967-03-22,0.297
02HC032,1967-03-23,0.351
02HC032,1967-03-24,0.385
02HC032,1967-03-25,0.705
02HC032,1967-03-26,0.971
02HC032,1967-03-27,3.91
02HC032,1967-03-28,3.77
02HC032,1967-03-29,3.94
02HC032,1967-03-30,5.01
02HC032,1967-03-31,4.02
02HC032,1967-04-01,4.13
02HC032,1967-04-02,3.62
02HC032,1967-04-03,8.58
02HC032,1967-04-04,3.26
02HC032,1967-04-05,2.32
02HC032,1967-04-06,2.42
02HC032,1967-04-07,2.74
02HC032,1967-04-08,2.08
02HC032,1967-04-09,1.68
02HC032,1967-04-10,1.52
02HC032,1967-04-11,1.2
02HC032,1967-04-12,0.997
02HC032,1967-04-13,0.864
02HC032,1967-04-14,0.665
02HC032,1967-04-15,0.886
02HC032,1967-04-16,0.841
02HC032,1967-04-17,0.784
02HC032,1967-04-18,0.934
02HC032,1967-04-19,0.784
02HC032,1967-04-20,0.665
02HC032,1967-04-21,0.589
02HC032,1967-04-22,0.685
02HC032,1967-04-23,0.739
02HC032,1967-04-24,0.617
02HC032,1967-04-25,0.541
02HC032,1967-04-26,0.476
02HC032,1967-04-27,0.43
02HC032,1967-04-28,0.368
02HC032,1967-04-29,0.334
02HC032,1967-04-30,0.311
02HC032,1967-05-01,0.297
02HC032,1967-05-02,0.317
02HC032,1967-05-03,0.626
02HC032,1967-05-04,0.532
02HC032,1967-05-05,0.419
02HC032,1967-05-06,0.351
02HC032,1967-05-07,0.343
02HC032,1967-05-08,0.496
02HC032,1967-05-09,0.541
02HC032,1967-05-10,0.524
02HC032,1967-05-11,0.467
02HC032,1967-05-12,0.637
02HC032,1967-05-13,0.561
02HC032,1967-05-14,0.447
02HC032,1967-05-15,0.385
02HC032,1967-05-16,0.343
02HC032,1967-05-17,0.303
02HC032,1967-05-18,0.28
02HC032,1967-05-19,0.303
02HC032,1967-05-20,0.326
02HC032,1967-05-21,0.289
02HC032,1967-05-22,0.266
02HC032,1967-05-23,0.244
02HC032,1967-05-24,0.215
02HC032,1967-05-25,0.215
02HC032,1967-05-26,0.207
02HC032,1967-05-27,0.193
02HC032,1967-05-28,0.178
02HC032,1967-05-29,0.173
02HC032,1967-05-30,0.159
02HC032,1967-05-31,0.139
02HC032,1967-06-01,0.119
02HC032,1967-06-02,0.113
02HC032,1967-06-03,0.102
02HC032,1967-06-04,0.091
02HC032,1967-06-05,0.091
02HC032,1967-06-06,0.062
02HC032,1967-06-07,0.071
02HC032,1967-06-08,0.088
02HC032,1967-06-09,0.085
02HC032,1967-06-10,0.127
02HC032,1967-06-11,0.385
02HC032,1967-06-12,0.261
02HC032,1967-06-13,0.402
02HC032,1967-06-14,0.343
02HC032,1967-06-15,0.224
02HC032,1967-06-16,0.252
02HC032,1967-06-17,0.229
02HC032,1967-06-18,0.326
02HC032,1967-06-19,0.261
02HC032,1967-06-20,0.173
02HC032,1967-06-21,0.139
02HC032,1967-06-22,0.773
02HC032,1967-06-23,0.807
02HC032,1967-06-24,0.484
02HC032,1967-06-25,0.589
02HC032,1967-06-26,0.561
02HC032,1967-06-27,0.385
02HC032,1967-06-28,0.266
02HC032,1967-06-29,0.385
02HC032,1967-06-30,0.504
02HC032,1967-07-01,0.685
02HC032,1967-07-02,2.02
02HC032,1967-07-03,3.11
02HC032,1967-07-04,1.61
02HC032,1967-07-05,0.957
02HC032,1967-07-06,0.716
02HC032,1967-07-07,0.569
02HC032,1967-07-08,0.467
02HC032,1967-07-09,0.402
02HC032,1967-07-10,0.385
02HC032,1967-07-11,0.385
02HC032,1967-07-12,0.578
02HC032,1967-07-13,0.394
02HC032,1967-07-14,0.303
02HC032,1967-07-15,0.261
02HC032,1967-07-16,0.238
02HC032,1967-07-17,0.207
02HC032,1967-07-18,0.193
02HC032,1967-07-19,0.224
02HC032,1967-07-20,0.201
02HC032,1967-07-21,0.173
02HC032,1967-07-22,0.153
02HC032,1967-07-23,0.275
02HC032,1967-07-24,0.43
02HC032,1967-07-25,0.377
02HC032,1967-07-26,0.297
02HC032,1967-07-27,0.224
02HC032,1967-07-28,0.187
02HC032,1967-07-29,0.153
02HC032,1967-07-30,0.133
02HC032,1967-07-31,0.147
02HC032,1967-08-01,0.119
02HC032,1967-08-02,0.153
02HC032,1967-08-03,0.317
02HC032,1967-08-04,0.275
02HC032,1967-08-05,0.207
02HC032,1967-08-06,0.173
02HC032,1967-08-07,0.147
02HC032,1967-08-08,0.147
02HC032,1967-08-09,0.153
02HC032,1967-08-10,0.173
02HC032,1967-08-11,0.173
02HC032,1967-08-12,0.147
02HC032,1967-08-13,0.127
02HC032,1967-08-14,0.119
02HC032,1967-08-15,0.113
02HC032,1967-08-16,0.105
02HC032,1967-08-17,0.105
02HC032,1967-08-18,0.105
02HC032,1967-08-19,0.105
02HC032,1967-08-20,0.105
02HC032,1967-08-21,0.102
02HC032,1967-08-22,0.091
02HC032,1967-08-23,0.088
02HC032,1967-08-24,0.088
02HC032,1967-08-25,0.079
02HC032,1967-08-26,0.085
02HC032,1967-08-27,0.105
02HC032,1967-08-28,1.06
02HC032,1967-08-29,0.946
02HC032,1967-08-30,0.589
02HC032,1967-08-31,0.467
02HC032,1967-09-01,0.368
02HC032,1967-09-02,0.303
02HC032,1967-09-03,0.252
02HC032,1967-09-04,0.207
02HC032,1967-09-05,0.187
02HC032,1967-09-06,0.153
02HC032,1967-09-07,0.139
02HC032,1967-09-08,0.127
02HC032,1967-09-09,0.113
02HC032,1967-09-10,0.102
02HC032,1967-09-11,0.088
02HC032,1967-09-12,0.096
02HC032,1967-09-13,0.096
02HC032,1967-09-14,0.091
02HC032,1967-09-15,0.091
02HC032,1967-09-16,0.088
02HC032,1967-09-17,0.085
02HC032,1967-09-18,0.085
02HC032,1967-09-19,0.079
02HC032,1967-09-20,0.079
02HC032,1967-09-21,0.105
02HC032,1967-09-22,0.113
02HC032,1967-09-23,0.105
02HC032,1967-09-24,0.113
02HC032,1967-09-25,0.102
02HC032,1967-09-26,0.096
02HC032,1967-09-27,0.091
02HC032,1967-09-28,0.133
02HC032,1967-09-29,0.447
02HC032,1967-09-30,0.439
02HC032,1967-10-01,0.303
02HC032,1967-10-02,0.224
02HC032,1967-10-03,0.178
02HC032,1967-10-04,0.153
02HC032,1967-10-05,0.139
02HC032,1967-10-06,0.119
02HC032,1967-10-07,0.108
02HC032,1967-10-08,0.108
02HC032,1967-10-09,0.133
02HC032,1967-10-10,0.147
02HC032,1967-10-11,0.147
02HC032,1967-10-12,0.127
02HC032,1967-10-13,0.119
02HC032,1967-10-14,0.119
02HC032,1967-10-15,0.119
02HC032,1967-10-16,0.147
02HC032,1967-10-17,0.266
02HC032,1967-10-18,1.3
02HC032,1967-10-19,1.33
02HC032,1967-10-20,1.1
02HC032,1967-10-21,0.796
02HC032,1967-10-22,0.626
02HC032,1967-10-23,0.532
02HC032,1967-10-24,0.484
02HC032,1967-10-25,0.459
02HC032,1967-10-26,0.476
02HC032,1967-10-27,0.467
02HC032,1967-10-28,0.875
02HC032,1967-10-29,0.773
02HC032,1967-10-30,0.626
02HC032,1967-10-31,0.549
02HC032,1967-11-01,0.617
02HC032,1967-11-02,1.22
02HC032,1967-11-03,1.74
02HC032,1967-11-04,1.37
02HC032,1967-11-05,1.13
02HC032,1967-11-06,0.852
02HC032,1967-11-07,0.705
02HC032,1967-11-08,0.637
02HC032,1967-11-09,0.578
02HC032,1967-11-10,0.569
02HC032,1967-11-11,0.532
02HC032,1967-11-12,0.589
02HC032,1967-11-13,0.739
02HC032,1967-11-14,0.694
02HC032,1967-11-15,0.597
02HC032,1967-11-16,0.552
02HC032,1967-11-17,0.524
02HC032,1967-11-18,0.654
02HC032,1967-11-19,0.83
02HC032,1967-11-20,0.674
02HC032,1967-11-21,0.623
02HC032,1967-11-22,0.589
02HC032,1967-11-23,0.728
02HC032,1967-11-24,0.818
02HC032,1967-11-25,0.728
02HC032,1967-11-26,0.739
02HC032,1967-11-27,0.773
02HC032,1967-11-28,0.617
02HC032,1967-11-29,0.538
02HC032,1967-11-30,0.453
02HC032,1967-12-01,0.411
02HC032,1967-12-02,0.343
02HC032,1967-12-03,0.317
02HC032,1967-12-04,0.323
02HC032,1967-12-05,0.317
02HC032,1967-12-06,0.303
02HC032,1967-12-07,0.343
02HC032,1967-12-08,0.447
02HC032,1967-12-09,0.476
02HC032,1967-12-10,0.532
02HC032,1967-12-11,0.411
02HC032,1967-12-12,1.04
02HC032,1967-12-13,1.23
02HC032,1967-12-14,0.75
02HC032,1967-12-15,0.589
02HC032,1967-12-16,0.513
02HC032,1967-12-17,0.459
02HC032,1967-12-18,0.637
02HC032,1967-12-19,1.35
02HC032,1967-12-20,0.92
02HC032,1967-12-21,1.27
02HC032,1967-12-22,3.34
02HC032,1967-12-23,1.74
02HC032,1967-12-24,1.3
02HC032,1967-12-25,0.957
02HC032,1967-12-26,0.841
02HC032,1967-12-27,0.651
02HC032,1967-12-28,0.552
02HC032,1967-12-29,0.496
02HC032,1967-12-30,0.439
02HC032,1967-12-31,0.396
02HC032,1968-01-01,0.354
02HC032,1968-01-02,0.317
02HC032,1968-01-03,0.283
02HC032,1968-01-04,0.261
02HC032,1968-01-05,0.244
02HC032,1968-01-06,0.227
02HC032,1968-01-07,0.212
02HC032,1968-01-08,0.198
02HC032,1968-01-09,0.19
02HC032,1968-01-10,0.181
02HC032,1968-01-11,0.176
02HC032,1968-01-12,0.173
02HC032,1968-01-13,0.167
02HC032,1968-01-14,0.164
02HC032,1968-01-15,0.164
02HC032,1968-01-16,0.161
02HC032,1968-01-17,0.161
02HC032,1968-01-18,0.159
02HC032,1968-01-19,0.159
02HC032,1968-01-20,0.156
02HC032,1968-01-21,0.156
02HC032,1968-01-22,0.156
02HC032,1968-01-23,0.156
02HC032,1968-01-24,0.156
02HC032,1968-01-25,0.156
02HC032,1968-01-26,0.156
02HC032,1968-01-27,0.156
02HC032,1968-01-28,0.227
02HC032,1968-01-29,0.467
02HC032,1968-01-30,0.504
02HC032,1968-01-31,0.524
02HC032,1968-02-01,0.578
02HC032,1968-02-02,4.3
02HC032,1968-02-03,4.53
02HC032,1968-02-04,3.68
02HC032,1968-02-05,3.11
02HC032,1968-02-06,2.55
02HC032,1968-02-07,2.1
02HC032,1968-02-08,1.64
02HC032,1968-02-09,1.42
02HC032,1968-02-10,1.22
02HC032,1968-02-11,1.03
02HC032,1968-02-12,0.892
02HC032,1968-02-13,0.765
02HC032,1968-02-14,0.68
02HC032,1968-02-15,0.651
02HC032,1968-02-16,0.524
02HC032,1968-02-17,0.467
02HC032,1968-02-18,0.411
02HC032,1968-02-19,0.368
02HC032,1968-02-20,0.334
